id,age,gender,marital.status,yrs.licensed,region
2nXsbe,58,M,Separated,31,A
Se2sx3,76,F,Married,51,A
l1VLJs,44,F,Married,24,F
vUwZnU,28,F,Single,8,B
aZNytG,31,M,Widowed,9,C
ZsKw2R,78,M,Single,53,G
VWPqlN,38,F,Widowed,12,F
PlHwYK,62,F,Married,28,F
xWoRNN,38,M,Divorced,15,D
XZLUyX,42,M,Divorced,17,A
RxNGAe,66,M,Divorced,37,C
NZM1pU,42,M,Widowed,18,F
n1jMzQ,50,M,Single,29,A
zHfTdn,32,F,Divorced,15,H
ZZjnHw,73,F,Married,46,A
zbwAsO,36,M,Single,17,F
fQCqDZ,29,F,Married,10,A
4XqQhf,40,F,Single,13,G
qknFkx,62,M,Married,35,E
QlRFKh,31,m,Single,8,C
sPpOK0,81,M,Divorced,62,F
kxqOZR,37,M,Married,17,B
AxBmws,83,F,Married,61,G
lvbFCg,52,M,Married,21,A
YI2rkD,34,M,Single,11,B
CMofzE,30,M,Married,10,G
KYwAuy,60,F,Single,30,E
0DTvKe,29,F,Single,6,A
UZGygp,29,M,Married,12,I
RT42tJ,60,M,Married,32,A
jBmKRf,50,M,Widowed,31,I
bTuA4y,68,F,Married,34,B
01NhXN,23,F,Single,6,A
tt2axP,32,F,Married,15,H
lLWAnp,74,M,Married,52,C
VMCThh,72,F,Married,47,A
2BQYUj,32,M,Married,8,A
rX0Ucm,25,F,Separated,7,G
xjlAzy,52,F,Married,25,E
3Kz3JW,19,M,Single,2,A
XOeHkS,29,F,Married,9,D
ISNzUr,34,F,Married,17,F
XHk4Sj,31,M,Married,13,A
r1vKtl,30,F,Single,4,K
PPUrUo,43,F,Married,21,H
SLNwZV,72,M,Single,53,C
COcrCE,31,F,Single,10,B
aYnlVv,27,M,Single,8,F
uEhTg2,18,F,Single,2,I
Ei0DWa,61,F,Married,37,A
oIVqQV,29,F,Single,7,D
WY0Xl0,43,M,Married,24,G
YssjFO,47,M,Married,24,H
3yveY1,26,F,Married,5,A
jGuZOf,25,M,Married,5,A
XCWmou,40,M,Married,6,J
hVshb3,34,F,Single,16,C
3F1A02,38,M,Married,20,E
G4sPS4,53,F,Married,32,C
fetxrI,35,M,Married,14,A
Tmoo3Z,48,F,Divorced,17,D
czseOl,47,F,Married,25,G
4cxxu4,49,M,Married,18,A
1HwK1D,38,F,Married,17,A
PID4fv,54,M,Widowed,28,A
ebgBDx,30,F,Married,8,A
ySDNUI,76,F,Married,42,F
Jhfg1q,46,F,Married,20,A
fQRi3t,34,f,Married,11,H
ckUqEZ,24,M,Single,6,G
jnymEA,44,F,Single,19,G
caf4uw,44,M,Married,22,C
sHbyyB,64,M,Divorced,43,D
Ig3HRg,50,M,Married,21,B
OULLgP,24,F,Single,3,C
FJQjpa,64,M,Married,39,E
aeSXKE,56,M,Single,34,G
y0Leab,44,M,Single,16,F
UNYQcs,32,F,Divorced,8,G
Sx1jeU,21,F,Single,2,C
QvNz20,47,F,Divorced,16,F
3kSAIs,35,F,Married,18,C
pq3TXs,38,M,Widowed,9,C
u0dOBY,53,M,Married,32,C
dtArl4,43,F,Widowed,15,G
vl4oeR,52,M,Married,21,C
ORVCGB,56,F,Single,26,C
3VaegU,22,M,Single,5,J
OY1DJv,82,M,Single,59,J
jrDSGE,35,F,Married,14,A
QwGIoP,41,F,Single,22,F
PfgMoT,58,F,Single,19,B
vfFQM4,31,M,Married,14,A
LQhNWg,30,M,Married,9,F
hA0RuN,33,M,Single,13,B
afTPTn,75,M,Widowed,37,L
MaZQqk,35,M,Married,14,E
GvIovn,33,F,Married,13,B
AFoJBD,40,F,Married,17,B
SgiLCH,NA,F,Married,16,A
GrppNl,20,F,Single,3,H
xwqn1J,40,F,Married,12,A
ceHWKh,24,F,Separated,7,B
Yr2mLG,67,F,Widowed,37,B
VRTIcu,72,F,Single,51,G
3QKgDO,56,M,Divorced,34,E
pINZMA,35,M,Married,9,A
avhgLh,73,M,Married,43,B
zz1qXx,27,M,Single,7,L
XWyXff,37,M,Widowed,18,D
THa2MJ,29,M,Single,9,M
MZVYXr,66,F,Married,35,A
irQuBx,32,F,Married,11,A
1axHDg,50,F,Married,11,H
vpISuS,53,M,Widowed,18,C
DnhY1U,39,F,Divorced,19,F
byAUil,71,M,Married,49,A
txXZrM,44,f,Singlr,21,A
2AvYkR,53,M,Married,27,H
XGFlQC,67,F,Married,39,C
NMxjuE,24,F,Single,5,E
BudBCk,46,F,Married,24,F
eDsjXX,62,F,Married,33,A
hHuwbC,48,M,Married,21,F
uXmLyn,34,F,Single,11,F
hCe2vS,48,M,Single,24,A
FOAkjU,52,M,Married,30,G
JyrCFy,27,F,Separated,7,A
nnHOWb,33,M,Single,12,F
tzdbXH,37,M,Married,19,D
AwA4jj,49,M,Married,28,F
3nBeaW,34,M,Single,9,B
CeUxT0,19,M,Single,2,B
wrjh1x,27,M,Single,5,H
rLWCJq,58,M,Married,37,A
2iUheY,58,M,Married,38,E
luAvyv,29,F,Married,11,J
LPGERW,72,M,Single,53,E
jk1pfh,36,F,Married,12,A
dKJbSm,45,F,Divorced,20,C
