id,nb.rb,exposure,year
2nXsbe,RB,0.5,2019
Se2sx3,RB,1,2018
l1VLJs,NB,0.5,2022
vUwZnU,RB,1,2021
aZNytG,RB,1,2022
ZsKw2R,RB,1,2020
VWPqlN,NB,1,2022
PlHwYK,NB,1,2020
xWoRNN,RB,0.9166666666666666,2018
XZLUyX,NB,1,2019
RxNGAe,RB,1,2021
NZM1pU,RB,1,2022
n1jMzQ,NB,0.5,2022
zHfTdn,NB,0.5,2020
ZZjnHw,RB,0.5,2022
zbwAsO,NB,0.25,2020
fQCqDZ,NB,1,2020
4XqQhf,RB,0.5,2021
qknFkx,RB,1,2022
QlRFKh,NB,1,2022
sPpOK0,RB,0.6666666666666666,2020
kxqOZR,RB,0.25,2022
AxBmws,NB,1,2020
lvbFCg,RB,1,2020
YI2rkD,NB,0.5,2022
CMofzE,NB,1,2019
KYwAuy,RB,1,2020
0DTvKe,RB,0.5833333333333334,2018
UZGygp,NB,0.8333333333333334,2019
RT42tJ,RB,1,2019
jBmKRf,RB,1,2019
bTuA4y,RB,1,2020
01NhXN,NB,1,2020
tt2axP,RB,0.5,2019
lLWAnp,RB,0.5,2021
VMCThh,NB,1,2019
2BQYUj,RB,0.5,2020
rX0Ucm,RB,1,2021
xjlAzy,NB,1,2018
3Kz3JW,RB,1,2021
XOeHkS,NB,0.5,2018
ISNzUr,RB,1,2022
XHk4Sj,RB,1,2019
r1vKtl,RB,0.4166666666666667,2022
PPUrUo,RB,1,2022
SLNwZV,RB,0.3333333333333333,2021
COcrCE,RB,1,2022
aYnlVv,RB,0.75,2022
uEhTg2,NB,1,2022
Ei0DWa,RB,0.5,2018
oIVqQV,RB,1,2021
WY0Xl0,NB,1,2021
YssjFO,RB,0.9166666666666666,2019
3yveY1,RB,1,2018
jGuZOf,NB,1,2021
XCWmou,NB,0.4166666666666667,2021
hVshb3,NB,1,2022
3F1A02,RB,1,2021
G4sPS4,RB,0.5,2018
fetxrI,RB,0.5,2019
Tmoo3Z,RB,0.5,2022
czseOl,RB,1,2021
4cxxu4,NB,0.25,2019
1HwK1D,RB,1,2021
PID4fv,RB,0.4166666666666667,2021
ebgBDx,NB,1,2021
ySDNUI,RB,1,2021
Jhfg1q,NB,0.5,2022
fQRi3t,RB,1,2022
ckUqEZ,RB,1,2019
jnymEA,NB,1,2019
caf4uw,RB,0.5,2022
sHbyyB,RB,1,2018
Ig3HRg,NB,0.5,2020
OULLgP,NB,0.5,2021
FJQjpa,RB,0.5,2020
aeSXKE,RB,0.5,2018
y0Leab,RB,1,2022
UNYQcs,RB,1,2022
Sx1jeU,RB,1,2022
QvNz20,RB,0.3333333333333333,2021
3kSAIs,RB,0.5,2019
pq3TXs,RB,1,2021
u0dOBY,RB,0.5,2018
dtArl4,RB,0.5,2020
vl4oeR,RB,0.08333333333333333,2018
ORVCGB,RB,1,2020
3VaegU,NB,0.25,2022
OY1DJv,RB,1,2019
jrDSGE,RB,0.16666666666666666,2021
QwGIoP,NB,1,2019
PfgMoT,RB,0.5,2022
vfFQM4,RB,1,2020
LQhNWg,NB,0.5,2019
hA0RuN,RB,1,2021
afTPTn,NB,0.4166666666666667,2020
MaZQqk,NB,0.5,2018
GvIovn,NB,0.5,2018
AFoJBD,RB,1,2019
SgiLCH,RB,1,2018
GrppNl,NB,1,2018
xwqn1J,NB,0.4166666666666667,2018
ceHWKh,NB,1,2021
Yr2mLG,NB,0.5,2021
VRTIcu,NB,1,2020
3QKgDO,RB,0.5,2020
pINZMA,RB,1,2022
