id,prior.claims
Se2sx3,3
ZsKw2R,4
PlHwYK,2
xWoRNN,1
RxNGAe,2
n1jMzQ,1
ZZjnHw,4
4XqQhf,2
qknFkx,3
sPpOK0,4
kxqOZR,1
AxBmws,2
lvbFCg,1
CMofzE,3
0DTvKe,1
UZGygp,1
RT42tJ,1
bTuA4y,2
01NhXN,1
lLWAnp,1
VMCThh,1
xjlAzy,2
XOeHkS,1
PPUrUo,4
SLNwZV,3
Ei0DWa,2
WY0Xl0,2
YssjFO,2
3yveY1,1
hVshb3,1
3F1A02,2
G4sPS4,1
fetxrI,1
4cxxu4,1
1HwK1D,1
PID4fv,1
ebgBDx,2
ySDNUI,4
Jhfg1q,1
jnymEA,1
caf4uw,1
sHbyyB,2
Ig3HRg,1
FJQjpa,1
aeSXKE,2
y0Leab,1
UNYQcs,1
3kSAIs,4
u0dOBY,1
ORVCGB,2
OY1DJv,5
QwGIoP,2
LQhNWg,1
hA0RuN,1
afTPTn,3
AFoJBD,2
SgiLCH,3
xwqn1J,2
Yr2mLG,2
VRTIcu,4
3QKgDO,1
pINZMA,1
avhgLh,1
MZVYXr,4
irQuBx,1
1axHDg,1
vpISuS,1
byAUil,3
2AvYkR,1
XGFlQC,2
BudBCk,2
eDsjXX,1
hHuwbC,1
hCe2vS,1
FOAkjU,1
nnHOWb,3
AwA4jj,2
3nBeaW,1
wrjh1x,1
rLWCJq,5
2iUheY,2
LPGERW,4
jk1pfh,1
dKJbSm,2
DF1wrw,4
3qQBDs,2
QXELSe,1
KGjwZd,4
ham41X,2
ddZKvl,1
wJMqPq,1
SicBcI,2
RCIwxr,2
vojadX,1
2wQvos,1
TYkuOU,2
uZeYqH,3
OE0FWJ,1
0FNFKV,1
FSeohS,1
g1M41x,2
i0NaW4,2
sIx2aq,2
PVGrBM,2
JMpHGK,4
jBGFNW,2
aNDCVy,1
jJZjX0,2
JIJNZq,2
QfvWOg,2
arRLCT,1
MOxEc1,3
WmmIgN,1
iZ4D02,3
ILOaTg,3
3UjFgD,1
3URKae,1
Bv0T1a,1
g2axrz,3
z0mthn,2
p2Ycxe,1
xzG1kV,3
Izoskx,2
3IboXb,1
oxxqCe,1
3VXEcY,6
SO1rRj,1
tprTWm,1
rpKTFV,2
BinNej,2
BmCrZp,1
JUwJUj,55
OWeKQh,3
mgANzL,1
KlbPvO,3
VAPOk3,2
HOH0I1,3
ynHJMr,1
wNRr2y,1
XWMxpk,2
4Iznjj,3
Fr0LFM,1
yeg4dl,1
Cc1zzZ,1
KAG4Ze,4
jHTUUy,55
irFWhr,2
LRGJTn,2
mtN1O3,3
EiJx4A,1
fzRfLN,1
OdCbBd,2
yORRzX,1
MNctCE,1
VvVDAV,5
tDDayj,1
KPeSJQ,1
Zv3BbO,2
f3QHqB,1
ltgxBf,1
U1ZNSv,5
COhMY4,3
FxX0gb,2
micVvW,1
IaCPhH,1
K4hMAp,1
PmoXC4,1
4yRbSC,1
ubSbXT,1
PKgR0v,1
KzZioP,1
iAHLhg,2
pUCzgm,1
sjVerO,1
ePhYFv,3
2Drkn0,2
zvb1qh,1
PVFUCO,1
zXLOMO,2
GXEJtJ,2
oegWKf,4
c4qixl,3
BFrOiZ,2
ElmJhk,1
OWwNLt,1
PTwv0q,1
FKyip1,1
kj4Mru,1
E0umFG,1
OPYlCq,3
quIa0D,2
ZaM4Tn,3
HzcANd,1
nfqDll,2
0QHA1p,2
KmGYmH,1
QZnufx,1
eSyScs,2
kTTjnp,1
h4itgR,3
CbiZhU,1
tOpJpS,1
3d0P4f,1
GgcjFX,2
0AR0hN,3
3ZZNJP,2
etbuE1,1
eYfOtr,5
ZN3kM0,1
DnT0l0,3
XcB4Zq,1
PVNUnu,1
APjd0o,2
DYikGd,1
xYPi0b,1
LbKJmP,2
InhWos,1
p2ZLML,1
igcFOo,1
2zDrOI,1
qFoGdD,1
r3eHpi,2
gV1jgU,1
1mXufh,3
VhLdgD,2
0yhkYC,2
