id,vehicle.age,vehicle.value,body,seats,drive,mpg,length,height,hp,engine.size,cylinders,fuel
2nXsbe,8,12790,suv,8,AWD,36,202,69,242,3.3,6,diesel
Se2sx3,13,2998,sedan,5,FWD,53,184,56,127,2,4,diesel
l1VLJs,19,1387,suv,5,AWD,42,176,63,131,2,4,diesel
vUwZnU,13,6871,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
aZNytG,12,11582,suv,8,RWD,19,210,76,440,3.5,6,gasoline
ZsKw2R,14,5855,suv,8,RWD,21,208,77,332,6,8,gasoline/hybrid
VWPqlN,5,11233,sedan,5,FWD,51,183,57,146,2,4,diesel
PlHwYK,6,7658,suv,5,FWD,31,165,63,147,2,4,gasoline
xWoRNN,1,13634,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
XZLUyX,1,21304,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
RxNGAe,15,1996,suv,5,AWD,25,161,65,166,2,4,gasoline
NZM1pU,10,4846,suv,5,FWD,28,180,63,158,2,4,gasoline
n1jMzQ,2,27594,suv,5,AWD,23,189,68,250,2,4,gasoline
zHfTdn,26,312,sedan,5,FWD,52,173,57,103,1.6,4,diesel
ZZjnHw,22,710,sedan,5,FWD,53,184,56,127,2,4,diesel
zbwAsO,23,656,suv,5,FWD,30,171,65,137,1.2,3,gasoline
fQCqDZ,3,11138,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
4XqQhf,3,16088,suv,5,FWD,30,171,65,137,1.2,3,gasoline
qknFkx,6,9572,sedan,5,FWD,30,194,58,160,1.5,4,gasoline
QlRFKh,8,10565,sub,5,awd,23,189,68,250,2,4,NA
sPpOK0,17,2964,sedan,5,RWD,29,185,55,225,2,4,gasoline/hybrid
kxqOZR,14,2555,suv,5,FWD,28,180,63,158,2,4,gasoline
AxBmws,24,537,suv,5,AWD,29,176,63,152,2,4,gasoline
lvbFCg,22,740,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
YI2rkD,6,14550,suv,5,AWD,23,189,68,250,2,4,gasoline
CMofzE,5,24713,suv,8,RWD,20,210,77,380,3.5,6,gasoline
KYwAuy,14,4045,suv,5,AWD,23,189,68,250,2,4,gasoline
0DTvKe,3,13613,sedan,5,FWD,35,183,57,169,2,4,gasoline
UZGygp,10,5047,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
RT42tJ,30,173,sedan,5,FWD,37,184,56,147,2,4,gasoline
jBmKRf,21,764,sedan,5,FWD,35,183,57,169,2,4,gasoline
bTuA4y,14,2768,suv,5,FWD,30,171,65,137,1.2,3,gasoline
01NhXN,6,17613,suv,8,AWD,36,202,69,242,3.3,6,diesel
tt2axP,8,6395,suv,5,FWD,48,169,63,105,1.6,4,diesel
lLWAnp,24,387,sedan,5,FWD,31,179,58,160,2,4,flex
VMCThh,7,8157,suv,5,AWD,29,176,63,152,2,4,gasoline
2BQYUj,18,786,sedan,5,FWD,31,174,58,120,1.6,4,gasoline
rX0Ucm,6,9189,suv,5,FWD,28,180,63,158,2,4,gasoline
xjlAzy,20,1549,suv,5,AWD,23,189,68,250,2,4,gasoline
3Kz3JW,4,13710,suv,5,FWD,30,171,65,137,1.2,3,gasoline
XOeHkS,25,476,suv,5,FWD,30,171,65,137,1.2,3,gasoline
ISNzUr,12,4252,sedan,5,AWD,43,191,59,157,2.5,4,diesel
XHk4Sj,9,5923,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
r1vKtl,5,9885,sedan,5,FWD,35,183,57,169,2,4,gasoline
PPUrUo,12,5571,suv,5,AWD,23,189,68,250,2,4,gasoline
SLNwZV,5,10784,suv,5,FWD,28,180,63,158,2,4,gasoline
COcrCE,17,1713,suv,5,FWD,30,171,65,137,1.2,3,gasoline
aYnlVv,26,983,suv,8,RWD,29,210,77,329,3.5,6,diesel
uEhTg2,12,5864,sedan,5,FWD,25,195,56,272,2,4,gasoline
Ei0DWa,20,1019,suv,5,AWD,29,176,63,152,2,4,gasoline
oIVqQV,12,4105,suv,5,FWD,41,180,63,136,2,4,diesel
WY0Xl0,24,817,suv,5,AWD,23,189,68,250,2,4,gasoline
YssjFO,17,2635,suv,8,AWD,25,202,69,280,3.3,6,gasoline/hybrid
3yveY1,13,2998,suv,5,FWD,28,180,63,158,2,4,gasoline
jGuZOf,8,7229,suv,5,FWD,30,171,65,137,1.2,3,gasoline
XCWmou,27,332,sedan,5,FWD,32,193,57,191,2.5,4,gasoline
hVshb3,11,4645,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
3F1A02,30,453,suv,8,RWD,20,210,77,380,3.5,6,gasoline
G4sPS4,9,4739,suv,5,FWD,33,169,63,122,1.6,4,gasoline
fetxrI,16,1391,sedan,5,FWD,36,161,60,130,1.5,4,gasoline
Tmoo3Z,4,13182,sedan,5,AWD,30,191,59,182,2.5,4,gasoline
czseOl,30,165,suv,5,FWD,33,169,63,122,1.6,4,gasoline
4cxxu4,13,3123,suv,5,AWD,29,176,63,152,2,4,gasoline
1HwK1D,5,9436,sedan,5,FWD,45,179,58,138,2,4,diesel
PID4fv,17,1186,sedan,5,FWD,31,179,58,160,2,4,flex
ebgBDx,22,770,suv,5,FWD,30,171,65,137,1.2,3,gasoline
ySDNUI,14,1916,sedan,5,FWD,49,164,60,95,1.6,4,diesel
Jhfg1q,15,2177,suv,5,FWD,28,180,63,158,2,4,gasoline
fQRi3t,11,4989,sesan,5,AWD,43,191,59,157,2.5,4,NA
ckUqEZ,16,1237,sedan,5,FWD,34,164,60,110,1.6,4,gasoline
jnymEA,3,33414,suv,8,RWD,21,205,75,332,6,8,gasoline/hybrid
caf4uw,5,13031,sedan,5,FWD,46,193,57,165,2.5,4,diesel
sHbyyB,14,2768,suv,5,FWD,30,171,65,137,1.2,3,gasoline
Ig3HRg,11,3441,suv,5,FWD,31,165,63,147,2,4,gasoline
OULLgP,2,19606,sedan,5,FWD,32,196,57,192,1.5,4,gasoline
FJQjpa,8,5561,suv,5,FWD,33,169,63,122,1.6,4,gasoline
aeSXKE,5,10335,suv,5,FWD,45,165,63,127,2,4,diesel
y0Leab,28,431,suv,5,AWD,23,189,68,250,2,4,gasoline
UNYQcs,9,10425,suv,5,AWD,33,189,68,216,2,4,diesel
